timestamp;rollspeed_integ;pitchspeed_integ;yawspeed_integ
7866316442;0.0;0.0;0.0
7866318284;0.0;0.0;0.0
7866518913;0.0;0.0;0.0
7866718462;0.0;0.0;0.0
7866917854;0.0;0.0;0.0
7867117329;0.0;0.0;0.0
7867316849;0.0;0.0;0.0
7867520771;0.0;0.0;0.0
7867720246;0.0;0.0;0.0
7867919717;0.0;0.0;0.0
7868119236;0.0;0.0;0.0
7868318664;0.0;-0.037646964;0.0
7868518138;-0.016173955;-0.074473016;0.0009924805
7868717609;3.1178788e-05;-0.080150306;-0.0031379517
7868920081;-0.0023745438;-0.056063257;-0.005012678
7869119629;-0.0060489997;-0.049829204;-0.004785766
7869319077;0.0017587806;-0.05390125;-0.004666753
7869518500;0.00016097788;-0.048863515;-0.004478559
7869717974;-0.0011867385;-0.04577958;-0.0044621793
7869917800;-0.00053469103;-0.04712893;-0.004469299
7870116923;-0.0003478435;-0.04831831;-0.004459165
7870320898;-0.000387287;-0.052362893;-0.0045058993
7870520364;-0.0014612812;-0.05416458;-0.004463227
7870719840;-0.0018246216;-0.05429393;-0.0044664177
7870919314;-0.0007149528;-0.05466392;-0.004468675
7871118831;0.0045161303;-0.05796616;-0.004541827
7871318256;0.0041650594;-0.06132156;-0.00453989
7871517733;5.9931448e-05;-0.06277991;-0.004345321
7871720204;-0.0031856317;-0.06234521;-0.004340277
7871920025;-0.007188874;-0.06407171;-0.0042691715
7872119151;-0.0069928872;-0.06376329;-0.0044002933
7872318672;0.018640885;-0.061782543;-0.0043935543
7872518097;-0.019029718;-0.06295451;-0.0032954125
7872717567;0.016281232;-0.06464;-0.0036353846
7872917045;0.0071960124;-0.06612657;-0.002822923
7873119518;-0.012073725;-0.07110349;-0.00160602
7873318991;-0.01002097;-0.07109641;-0.0017642591
7873518510;0.005426793;-0.071283005;-0.0013987363
7873717964;-0.04604283;-0.07427565;-0.00027872509
7873918909;-0.021229913;-0.082370415;-0.0014400533
7874118433;-0.0065698787;-0.05608042;-0.0020889887
7874317858;-0.018425448;-0.021153068;-0.0012835411
7874517328;-0.011929606;-0.045035854;-0.0006028427
7874719802;-0.015419666;-0.055466693;-0.000588043
7874919272;-0.0065892236;-0.051754877;-0.0041274717
7875118753;0.0016631493;-0.05658878;-0.0154412985
7875318263;0.012737621;-0.06309546;-0.029579954
7875517690;0.016750095;-0.06815869;-0.040830232
7875717166;0.014077915;-0.071553946;-0.050027102
7875919637;0.011163305;-0.06405815;-0.058476742
7876119177;-0.011356766;-0.019520706;-0.06466941
7876318586;0.0010477925;-0.037746448;-0.06875045
7876518101;0.016881485;-0.08853542;-0.06952551
7876717529;0.0064773615;-0.0605544;-0.06262205
7876917004;0.0045025055;-0.051947508;-0.0566662
7877116875;0.003852137;-0.06634725;-0.05399617
7877320495;0.008067505;-0.05406969;-0.04854105
7877519925;0.010298082;-0.046827722;-0.0375803
7877719391;-0.0004335385;-0.052338645;-0.023965947
7877918866;-0.007558171;-0.058185205;-0.011602154
7878118346;-0.008528515;-0.07157608;-0.00070184015
7878317864;-0.007462306;-0.050410997;0.009349961
7878517283;0.008746471;-0.0223421;0.020945344
7878721260;0.0032623215;-0.0031693077;0.034659017
7878919232;-0.024493394;-0.037944626;0.0381318
7879119042;-0.027955897;-0.06752782;0.044017367
7879318177;-0.007578237;-0.05387037;0.054778107
7879517699;0.011189493;-0.033410393;0.06474264
7879717121;-0.012208345;-0.050934806;0.06967466
7879916595;-0.021253303;-0.09234981;0.07172813
7880120569;-0.004110512;-0.075616546;0.07758279
7880320090;0.012989815;-0.049148858;0.070739016
7880519569;0.0014928707;-0.06273379;0.06556643
7880718988;0.0048561576;-0.07001306;0.06420191
7880918887;0.009874738;-0.059555024;0.064505965
7881117936;0.008650042;-0.06314276;0.06443476
7881317500;-0.0009259676;-0.06857754;0.06450287
7881519932;-0.0042909645;-0.064531006;0.064461805
7881719354;0.0011253522;-0.06364257;0.06435147
7881918826;-0.0015552618;-0.066560864;0.06436682
7882118297;-0.009583134;-0.07080019;0.06448911
7882317769;-0.011201832;-0.070082426;0.06444713
7882517291;-0.013951608;-0.05958735;0.06448445
7882716716;-0.010471398;-0.060894564;0.064218014
7882919206;-0.019357592;-0.094514;0.063380115
7883120164;-0.007308514;-0.06046475;0.06327498
