timestamp;timestamp_sample;gyro_device_id;gyro_bias[0];gyro_bias[1];gyro_bias[2];gyro_bias_limit;gyro_bias_variance[0];gyro_bias_variance[1];gyro_bias_variance[2];accel_device_id;accel_bias[0];accel_bias[1];accel_bias[2];accel_bias_limit;accel_bias_variance[0];accel_bias_variance[1];accel_bias_variance[2];mag_device_id;mag_bias[0];mag_bias[1];mag_bias[2];mag_bias_limit;mag_bias_variance[0];mag_bias_variance[1];mag_bias_variance[2];gyro_bias_valid;gyro_bias_stable;accel_bias_valid;accel_bias_stable;mag_bias_valid;mag_bias_stable
7866814886;7866643320;4325386;0.0012914462;0.0024460221;0.0009282564;0.15;3.5990726e-07;2.0041114e-07;3.0540153e-07;4259850;0.033379342;0.17855091;-0.003061009;0.4;0.00018229733;0.0007776347;3.6664816e-05;396809;-0.05031062;0.029168978;-0.05614449;0.5;0.00056820974;0.00016450754;0.0005495422;1;1;1;1;1;1
7867822699;7867651184;4325386;0.0012949703;0.002443692;0.0009098748;0.15;3.6349357e-07;2.0384316e-07;3.0778708e-07;4259850;0.03347014;0.17870884;-0.0030557325;0.4;0.00018217736;0.00077671703;3.67382e-05;396809;-0.05049021;0.029254777;-0.055901952;0.5;0.0005681734;0.00016447146;0.0005494306;1;1;1;1;1;1
7869082769;7868911013;4325386;0.0012949574;0.0024436717;0.0008514517;0.15;3.7479842e-07;2.1514407e-07;3.1699898e-07;4259850;0.03347014;0.17870884;-0.0030624594;0.4;0.00018227994;0.0007768179;3.6839505e-05;396809;-0.03730228;0.021308249;-0.0635454;0.5;0.00029914113;0.00010195505;0.00029386347;1;0;1;0;1;0
7870054684;7869882881;4325386;0.0012950541;0.0024454887;0.00061277894;0.15;3.834838e-07;2.2384576e-07;3.247662e-07;4259850;0.03347014;0.17870884;-0.0031343584;0.4;0.00018235917;0.00077689585;3.691247e-05;396809;-0.029483706;0.013323722;-0.05268207;0.5;0.00010205699;5.4597498e-05;0.00010555549;1;0;1;0;1;0
7871026542;7870854750;4325386;0.0012947255;0.002447369;0.0004402317;0.15;3.920701e-07;2.3249392e-07;3.3242742e-07;4259850;0.03347014;0.17870884;-0.003179411;0.4;0.0001824383;0.00077697367;3.697707e-05;396809;-0.023354283;0.007609324;-0.0441612;0.5;6.7373694e-05;4.485084e-05;7.21953e-05;1;0;1;0;1;0
7872070487;7871898656;4325386;0.0012941915;0.0024497497;0.00031625116;0.15;4.011672e-07;2.4173187e-07;3.4045064e-07;4259850;0.03347014;0.17870884;-0.0032134098;0.4;0.00018252333;0.0007770573;3.701541e-05;396809;-0.018666642;0.0035996062;-0.036455464;0.5;5.225128e-05;3.9865736e-05;5.7609945e-05;1;0;1;0;1;0
7872970207;7872798534;4325386;0.0012956671;0.002452058;0.0002246333;0.15;4.0886755e-07;2.496299e-07;3.4723433e-07;4259850;0.03347014;0.17870884;-0.0032374451;0.4;0.00018259654;0.0007771293;3.700918e-05;396809;-0.015417675;-8.302107e-05;-0.030407336;0.5;4.4781154e-05;3.6783535e-05;4.9882434e-05;1;0;1;0;1;0
7874086094;7873914337;4325386;0.0012923392;0.00245405;0.0002351972;0.15;4.181813e-07;2.593234e-07;3.549081e-07;4259850;0.03347014;0.17870884;-0.0032414082;0.4;0.00018268735;0.00077721867;3.6938647e-05;396809;-0.012850444;-1.096029e-05;-0.02556276;0.5;3.9293136e-05;3.502112e-05;4.527612e-05;1;0;1;0;1;0
7874914018;7874742225;4325386;0.0012958074;0.0024562983;0.00021755951;0.15;4.2490797e-07;2.6644412e-07;3.6052248e-07;4259850;0.03347014;0.17870884;-0.0032785805;0.4;0.00018275483;0.000777285;3.6823403e-05;396809;-0.010626498;-0.0008222675;-0.021302959;0.5;3.5263158e-05;3.3851415e-05;4.135225e-05;1;0;1;0;1;0
7876029807;7875858121;4325386;0.0012951783;0.002458658;0.00023626456;0.15;4.3365628e-07;2.7589388e-07;3.681435e-07;4259850;0.03347014;0.17870884;-0.0033657046;0.4;0.00018284573;0.0007773744;3.651816e-05;396809;-0.008560108;-0.0030010894;-0.018079206;0.5;3.2476793e-05;3.2778233e-05;3.826094e-05;1;0;1;0;1;0
