timestamp;flag_armed;flag_multicopter_position_control_enabled;flag_control_manual_enabled;flag_control_auto_enabled;flag_control_offboard_enabled;flag_control_position_enabled;flag_control_velocity_enabled;flag_control_altitude_enabled;flag_control_climb_rate_enabled;flag_control_acceleration_enabled;flag_control_attitude_enabled;flag_control_rates_enabled;flag_control_allocation_enabled;flag_control_termination_enabled;source_id
7866257346;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7866758801;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7867265071;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7867770808;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7868276984;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7868782760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7869288759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7869795761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7870301780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7870807779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7871313778;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7871819761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7872325760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7872831759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7873337779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7873843756;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7874349780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7874855779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7875361779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7875867782;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7876373780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7876879863;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7877385760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7877892759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7878398804;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7878904762;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7879410760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7879917452;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7880422772;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7880928769;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7881434780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7881940759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7882446897;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7882952759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7883458760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7883964796;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7884471199;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7884976761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7885482785;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7885988784;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7886495640;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7887000760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7887506781;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7888012819;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7888519034;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7889024819;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7889530829;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7890036933;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7890542761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7891049012;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7891554759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7892060758;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7892566839;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7893073357;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7893578775;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7894084760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7894590759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7895096760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7895602759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7896108760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7896614759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7897120824;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7897627061;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7898132760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7898639759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7899145760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7899651761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7900157859;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7900663760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7901169794;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7901676149;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7902181763;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7902687760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7903193760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7903699759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7904205815;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7904711805;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7905218760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7905724758;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7906230780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7906737897;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7907243810;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7907750358;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7908255816;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7908761760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7909267955;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7909773814;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7910279761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7910785760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7911291762;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7911797912;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7912303782;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7912809759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7913315782;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7913821761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7914328561;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7914833785;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7915339759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7915845761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7916351781;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7916858149;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7917363780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7917869799;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7918375783;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7918881761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7919387974;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7919893773;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7920399779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7920906759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7921412759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7921918998;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7922424759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7922931097;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7923436773;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7923942773;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7924449027;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7924954783;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7925460819;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7925967759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7926473762;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7926980561;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7927485773;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
7927991878;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
