timestamp;timestamp_sample;gps_hvel[0];gps_hvel[1];gps_vvel;gps_hpos[0];gps_hpos[1];gps_vpos;ev_hvel[0];ev_hvel[1];ev_vvel;ev_hpos[0];ev_hpos[1];ev_vpos;rng_vpos;baro_vpos;aux_hvel[0];aux_hvel[1];flow[0];flow[1];heading;mag_field[0];mag_field[1];mag_field[2];gravity[0];gravity[1];gravity[2];drag[0];drag[1];airspeed;beta;hagl;hagl_rate
7866627345;7866438654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.325385;0.0;0.0;0.0;0.0;0.002509297;0.0025073104;0.002508918;0.002509297;1.0000055;1.0000131;1.0000048;0.0;0.0;0.0;0.0;0.0;0.0
7867122226;7866933496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.325543;0.0;0.0;0.0;0.0;0.0025092189;0.0025072384;0.002508823;0.0025092189;1.0000057;1.0000132;1.0000049;0.0;0.0;0.0;0.0;0.0;0.0
7867626706;7867438235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.325058;0.0;0.0;0.0;0.0;0.0025091404;0.0025071348;0.0025086952;0.0025091404;1.0000055;1.0000129;1.0000048;0.0;0.0;0.0;0.0;0.0;0.0
7868121645;7867933077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.328179;0.0;0.0;0.0;0.0;0.0025091039;0.0025071362;0.002508626;0.0025091039;1.0000063;1.0000144;1.0000056;0.0;0.0;0.0;0.0;0.0;0.0
7868626461;7868437817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.332443;0.0;0.0;0.0;0.0;0.0025101227;0.0025085737;0.0025077637;0.0025101227;1.0000076;1.0000165;1.0000057;0.0;0.0;0.0;0.0;0.0;0.0
7869131126;7868942556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.337394;0.0;0.0;0.0;0.0;0.0028226743;0.0028226743;0.0025589792;0.0025897075;1.0000148;1.0000186;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7869626166;7869437398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.344114;0.0;0.0;0.0;0.0;0.0026598375;0.0026598375;0.0025426236;0.0025526977;1.0000169;1.0000201;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7870120777;7869932242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.350694;0.0;0.0;0.0;0.0;0.0026048678;0.0026048678;0.002531823;0.0025404869;1.0000192;1.0000218;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7870625696;7870436980;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.359333;0.0;0.0;0.0;0.0;0.0025718838;0.0025718838;0.0025265946;0.0025328547;1.0000216;1.0000238;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7871120895;7870931823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.368379;0.0;0.0;0.0;0.0;0.002558359;0.002558359;0.0025243696;0.0025288234;1.0000241;1.0000259;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7871625074;7871436562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.3778925;0.0;0.0;0.0;0.0;0.002548111;0.002548111;0.0025224127;0.0025255915;1.0000266;1.0000283;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7872129902;7871941301;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.386883;0.0;0.0;0.0;0.0;0.002542066;0.002542066;0.0025208702;0.0025229908;1.0000292;1.0000309;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7872624717;7872436144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.396583;0.0;0.0;0.0;0.0;0.002537442;0.002537442;0.002521083;0.0025219787;1.000032;1.0000335;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7873129676;7872940884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.406528;0.0;0.0;0.0;0.0;0.0025322433;0.0025322433;0.0025190008;0.002519205;1.0000348;1.0000366;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7873624201;7873435726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.41439;0.0;0.0;0.0;0.0;0.0025302668;0.0025302668;0.0025177116;0.002517392;1.0000376;1.0000397;1.0000002;0.0;0.0;0.0;0.0;0.0;0.0
7874129038;7873940466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.42331;0.0;0.0;0.0;0.0;0.0025299264;0.0025299264;0.0025182506;0.0025175505;1.0000403;1.0000434;1.0000001;0.0;0.0;0.0;0.0;0.0;0.0
7874624135;7874435308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.430894;0.0;0.0;0.0;0.0;0.0025315476;0.0025315476;0.0025185333;0.0025178466;1.0000429;1.0000468;1.0000008;0.0;0.0;0.0;0.0;0.0;0.0
7875128526;7874940048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.437412;0.0;0.0;0.0;0.0;0.0025238695;0.0025238695;0.002518817;0.002516558;1.000047;1.0000507;1.0000001;0.0;0.0;0.0;0.0;0.0;0.0
