timestamp;nav_state;failure
7866257413;15;0
7866758950;15;0
7867265117;15;0
7867770855;15;0
7868272758;15;0
7868782834;15;0
7869288805;15;0
7869793515;15;0
7870297546;15;0
7870807886;15;0
7871314391;15;0
7871818348;15;0
7872322182;15;0
7872826195;15;0
7873337825;15;0
7873843805;15;0
7874347274;15;0
7874850835;15;0
7875361850;15;0
7875867828;15;0
7876371648;15;0
7876875714;15;0
7877385845;15;0
7877892805;15;0
7878396316;15;0
7878900435;15;0
7879410807;15;0
7879917498;15;0
7880421148;15;0
7880925021;15;0
7881429085;15;0
7881940854;15;0
7882447045;15;0
7882949828;15;0
7883453688;15;0
7883964869;15;0
7884471246;15;0
7884974496;15;0
7885478508;15;0
7885988831;15;0
7886495686;15;0
7886999287;15;0
7887503143;15;0
7888007121;15;0
7888519081;15;0
7889025038;15;0
7889527876;15;0
7890031867;15;0
7890542808;15;0
7891049059;15;0
7891552772;15;0
7892056498;15;0
7892566978;15;0
7893073405;15;0
7893577341;15;0
7894081640;15;0
7894585177;15;0
7895096806;15;0
7895602831;15;0
7896106071;15;0
7896609992;15;0
7897120890;15;0
7897627107;15;0
7898130676;15;0
7898634623;15;0
7899145831;15;0
7899651808;15;0
7900155436;15;0
7900659409;15;0
7901169840;15;0
7901676196;15;0
7902180413;15;0
7902684126;15;0
7903187942;15;0
7903699834;15;0
7904205862;15;0
7904708871;15;0
7905212694;15;0
7905724851;15;0
7906230825;15;0
7906733480;15;0
7907243857;15;0
7907750403;15;0
7908254380;15;0
7908758936;15;0
7909262214;15;0
7909773859;15;0
7910279923;15;0
7910782890;15;0
7911286960;15;0
7911797959;15;0
7912303853;15;0
7912807588;15;0
7913311837;15;0
7913821833;15;0
7914328608;15;0
7914832356;15;0
7915336449;15;0
7915840130;15;0
7916351827;15;0
7916858247;15;0
7917360975;15;0
7917864823;15;0
7918375964;15;0
7918881807;15;0
7919385672;15;0
7919889832;15;0
7920399851;15;0
7920906804;15;0
7921410272;15;0
7921914271;15;0
7922424804;15;0
7922931142;15;0
7923435364;15;0
7923938950;15;0
7924443127;15;0
7924954854;15;0
7925460893;15;0
7925963651;15;0
7926473837;15;0
7926980608;15;0
7927484324;15;0
7927988319;15;0
7928492650;15;0
7929003841;15;0
7929510115;15;0
7930012965;15;0
7930516933;15;0
7931027919;15;0
7931533831;15;0
7932037694;15;0
7932541543;15;0
7933051850;15;0
7933558418;15;0
7934062392;15;0
7934566282;15;0
7935076869;15;0
7935583465;15;0
7936086995;15;0
7936590990;15;0
7937102189;15;0
7937607864;15;0
7938112105;15;0
7938615634;15;0
7939125806;15;0
7939631806;15;0
7940136621;15;0
7940640361;15;0
7941144236;15;0
7941655832;15;0
7942161807;15;0
7942665057;15;0
7943169277;15;0
7943681093;15;0
7944186827;15;0
7944689609;15;0
7945193582;15;0
7945704807;15;0
7946210980;15;0
7946714572;15;0
7947218279;15;0
7947728806;15;0
7948235836;15;0
7948739139;15;0
7949243014;15;0
7949754823;15;0
7950261018;15;0
7950763659;15;0
7951267899;15;0
7951778847;15;0
7952284884;15;0
7952789101;15;0
7953292958;15;0
7953802832;15;0
7954309108;15;0
7954813009;15;0
7955316937;15;0
7955827883;15;0
7956333838;15;0
7956837708;15;0
7957341643;15;0
7957851942;15;0
7958358469;15;0
7958862314;15;0
7959366224;15;0
7959870157;15;0
7960382025;15;0
7960887805;15;0
7961390974;15;0
7961894789;15;0
7962405852;15;0
7962912337;15;0
7963415618;15;0
7963919408;15;0
7964429806;15;0
7964936300;15;0
7965440222;15;0
7965944179;15;0
7966448012;15;0
7966959882;15;0
7967465880;15;0
7967969243;15;0
7968472496;15;0
7968983834;15;0
7969489832;15;0
7969993442;15;0
7970497295;15;0
7971007834;15;0
7971514244;15;0
7972018043;15;0
7972522143;15;0
7973032086;15;0
7973537805;15;0
7974042663;15;0
7974546615;15;0
7975050496;15;0
7975562054;15;0
7976067863;15;0
7976571217;15;0
7977075212;15;0
7977585826;15;0
7978092445;15;0
7978595818;15;0
7979099846;15;0
7979609807;15;0
7980115854;15;0
7980620555;15;0
7981124502;15;0
7981628564;15;0
7982139819;15;0
7982645832;15;0
7983149133;15;0
7983652963;15;0
7984163831;15;0
7984670928;15;0
7985173886;15;0
7985677749;15;0
7986188808;15;0
7986694872;15;0
7987198442;15;0
7987702612;15;0
7988212832;15;0
7988719203;15;0
7989223101;15;0
7989726934;15;0
7990236829;15;0
7990742834;15;0
7991247919;15;0
7991751620;15;0
7992255414;15;0
7992766863;15;0
7993272808;15;0
7993776266;15;0
7994280149;15;0
7994790808;15;0
7995297018;15;0
7995801089;15;0
7996304769;15;0
7996814807;15;0
7997322164;15;0
7997825762;15;0
7998329344;15;0
7998839825;15;0
7999346206;15;0
7999850105;15;0
8000354070;15;0
8000863831;15;0
8001369859;15;0
8001874925;15;0
8002379459;15;0
8002882513;15;0
8003393807;15;0
8003899847;15;0
8004403177;15;0
8004907227;15;0
8005417968;15;0
8005923959;15;0
8006427815;15;0
8006931679;15;0
8007441983;15;0
8007948821;15;0
8008452535;15;0
8008956647;15;0
8009466943;15;0
8009968710;15;0
8010477041;15;0
8010980989;15;0
8011490807;15;0
8011996831;15;0
8012501724;15;0
8013005701;15;0
8013509766;15;0
8014022469;15;0
8014527806;15;0
8015030221;15;0
8015534065;15;0
8016045805;15;0
8016551929;15;0
8017055233;15;0
8017558719;15;0
8018069952;15;0
8018575833;15;0
8019079373;15;0
8019583356;15;0
8020093902;15;0
8020600194;15;0
8021104051;15;0
8021607907;15;0
8022117807;15;0
8022623826;15;0
8023128707;15;0
8023632487;15;0
8024136432;15;0
8024647834;15;0
8025153805;15;0
8025657159;15;0
8026161028;15;0
8026671829;15;0
8027177896;15;0
8027681697;15;0
8028185695;15;0
8028695835;15;0
8029202818;15;0
8029706314;15;0
8030210346;15;0
8030714214;15;0
8031226194;15;0
8031731955;15;0
8032234943;15;0
8032738924;15;0
8033249806;15;0
8033755832;15;0
8034259541;15;0
8034763354;15;0
8035274048;15;0
8035780502;15;0
8036284153;15;0
8036788439;15;0
8037291953;15;0
8037803808;15;0
8038309834;15;0
8038812563;15;0
8039316530;15;0
8039827846;15;0
8040334835;15;0
8040837132;15;0
8041341114;15;0
8041852831;15;0
8042358905;15;0
8042861841;15;0
8043365706;15;0
8043876844;15;0
8044382846;15;0
8044886392;15;0
8045396807;15;0
8045903212;15;0
8046407826;15;0
8046911631;15;0
8047421016;15;0
8047926814;15;0
8048431651;15;0
8048935564;15;0
8049439467;15;0
8049950827;15;0
8050456832;15;0
8050960167;15;0
8051464735;15;0
8051975067;15;0
8052480947;15;0
8052984720;15;0
8053488974;15;0
8053998807;15;0
8054505642;15;0
8055009475;15;0
8055513324;15;0
8056017196;15;0
8056528846;15;0
8057035493;15;0
8057537915;15;0
8058042034;15;0
8058552806;15;0
8059059867;15;0
8059562503;15;0
8060066428;15;0
8060578050;15;0
8061083807;15;0
8061587414;15;0
8062090962;15;0
8062601858;15;0
8063107864;15;0
8063611595;15;0
8064115568;15;0
8064625869;15;0
8065132357;15;0
8065636234;15;0
8066140233;15;0
8066644365;15;0
8067155807;15;0
8067661839;15;0
8068164692;15;0
8068668562;15;0
8069179897;15;0
8069685806;15;0
8070189239;15;0
8070693139;15;0
8071203825;15;0
8071710018;15;0
8072213805;15;0
8072717682;15;0
8073227807;15;0
8073733831;15;0
8074238603;15;0
8074742310;15;0
8075253892;15;0
8075759840;15;0
8076263544;15;0
8076766943;15;0
8077277815;15;0
8077783832;15;0
8078287925;15;0
8078791666;15;0
8079301832;15;0
8079808413;15;0
8080312366;15;0
8080816029;15;0
8081320364;15;0
8081831831;15;0
8082337885;15;0
8082840537;15;0
8083344495;15;0
8083856057;15;0
8084361808;15;0
8084865514;15;0
8085369043;15;0
8085879807;15;0
8086386010;15;0
8086889686;15;0
8087393734;15;0
8087903839;15;0
8088410554;15;0
8088914337;15;0
8089418567;15;0
8089922205;15;0
8090435113;15;0
8090940818;15;0
8091443083;15;0
8091952859;15;0
8092458975;15;0
8092963542;15;0
8093467598;15;0
8093971326;15;0
8094482840;15;0
8094988845;15;0
8095491972;15;0
8095996451;15;0
8096506973;15;0
8097012807;15;0
8097516594;15;0
8098022020;15;0
8098530807;15;0
8099037340;15;0
8099541110;15;0
8100044978;15;0
8100548972;15;0
8101060891;15;0
8101567359;15;0
8102069548;15;0
8102573735;15;0
8103086453;15;0
8103591832;15;0
8104094196;15;0
8104598064;15;0
8105109978;15;0
8105615834;15;0
8106118667;15;0
8106622621;15;0
8107133806;15;0
8107639833;15;0
8108143284;15;0
8108647169;15;0
8109157869;15;0
8109664003;15;0
8110167871;15;0
8110672046;15;0
8111181832;15;0
8111687822;15;0
8112192389;15;0
8112696400;15;0
8113205868;15;0
8113711850;15;0
8114216946;15;0
8114720842;15;0
8115224727;15;0
8115735807;15;0
8116241865;15;0
8116745447;15;0
8117249323;15;0
8117759809;15;0
8118266354;15;0
8118770072;15;0
8119273882;15;0
8119783850;15;0
8120289837;15;0
8120794527;15;0
8121298455;15;0
8121809862;15;0
8122315886;15;0
8122819449;15;0
8123323092;15;0
8123833935;15;0
8124339850;15;0
8124843683;15;0
8125347666;15;0
8125858007;15;0
8126364367;15;0
8126868227;15;0
8127372415;15;0
8127875965;15;0
8128388007;15;0
8128893816;15;0
8129396904;15;0
8129900549;15;0
8130413887;15;0
8130919905;15;0
8131421334;15;0
8131931826;15;0
8132438100;15;0
8132942020;15;0
8133445840;15;0
8133955849;15;0
8134461840;15;0
8134966557;15;0
8135470834;15;0
8135974261;15;0
8136485831;15;0
8136991832;15;0
8137494893;15;0
8137998887;15;0
8138509839;15;0
8139015824;15;0
8139519472;15;0
8140023503;15;0
8140534845;15;0
8141040807;15;0
8141544094;15;0
8142047851;15;0
