timestamp;timestamp_sample;control[0];control[1];control[2];control[3];control[4];control[5];control[6];control[7];control[8];control[9];control[10];control[11];reversible_flags
7871318275;7871318187;0.28499183;0.33559036;0.2538588;0.3819589;nan;nan;nan;nan;nan;nan;nan;nan;0
7871418814;7871418721;0.28570312;0.33810484;0.26646233;0.3661296;nan;nan;nan;nan;nan;nan;nan;nan;0
7871517755;7871517660;0.27401945;0.3480135;0.2677313;0.36663562;nan;nan;nan;nan;nan;nan;nan;nan;0
7871618235;7871618147;0.291728;0.32885107;0.26308298;0.37273782;nan;nan;nan;nan;nan;nan;nan;nan;0
7871720223;7871720133;0.2837668;0.3357215;0.2548508;0.38206077;nan;nan;nan;nan;nan;nan;nan;nan;0
7871817782;7871817620;0.2492404;0.3714245;0.2500314;0.38570356;nan;nan;nan;nan;nan;nan;nan;nan;0
7871920044;7871919606;0.29877594;0.32191452;0.22474095;0.41096848;nan;nan;nan;nan;nan;nan;nan;nan;0
7872017183;7872017093;0.31298733;0.3080888;0.24778537;0.38753843;nan;nan;nan;nan;nan;nan;nan;nan;0
7872119170;7872119079;0.12539342;0.48860723;0.41239175;0.23000751;nan;nan;nan;nan;nan;nan;nan;nan;0
7872216654;7872216566;0.18988778;0.42312148;0.3511279;0.2922628;nan;nan;nan;nan;nan;nan;nan;nan;0
7872318691;7872318599;0.30819353;0.31587234;0.24297467;0.38935933;nan;nan;nan;nan;nan;nan;nan;nan;0
7872420624;7872420538;0.40306026;0.2328101;0.13074976;0.4897798;nan;nan;nan;nan;nan;nan;nan;nan;0
7872518116;7872518025;0.3407666;0.30175114;0.16565219;0.44822997;nan;nan;nan;nan;nan;nan;nan;nan;0
7872620108;7872620011;0.12260682;0.50182366;0.4503665;0.18160291;nan;nan;nan;nan;nan;nan;nan;nan;0
7872717586;7872717498;0.18722704;0.42632246;0.33174738;0.31110305;nan;nan;nan;nan;nan;nan;nan;nan;0
7872819918;7872819487;0.3322972;0.29523697;0.20433478;0.42453098;nan;nan;nan;nan;nan;nan;nan;nan;0
7872917065;7872916971;0.28201306;0.35828814;0.23147532;0.38462338;nan;nan;nan;nan;nan;nan;nan;nan;0
7873019067;7873018958;0.2953329;0.3520232;0.20013444;0.40890935;nan;nan;nan;nan;nan;nan;nan;nan;0
7873119537;7873119444;0.3379696;0.3073739;0.16324033;0.4478161;nan;nan;nan;nan;nan;nan;nan;nan;0
7873218571;7873218479;0.26206395;0.37140012;0.23716252;0.38577333;nan;nan;nan;nan;nan;nan;nan;nan;0
7873320505;7873320417;0.16788033;0.45039508;0.40134886;0.23677565;nan;nan;nan;nan;nan;nan;nan;nan;0
7873417998;7873417905;0.25210005;0.3676513;0.30827796;0.3283706;nan;nan;nan;nan;nan;nan;nan;nan;0
7873520050;7873519890;0.33785865;0.30276188;0.16020228;0.45557708;nan;nan;nan;nan;nan;nan;nan;nan;0
7873617470;7873617377;0.44163537;0.21261854;0.06036295;0.5417831;nan;nan;nan;nan;nan;nan;nan;nan;0
7873717983;7873717863;0.3704864;0.26922917;0.15297456;0.46370977;nan;nan;nan;nan;nan;nan;nan;nan;0
7873819940;7873819849;0.14947218;0.46507964;0.3410705;0.30077758;nan;nan;nan;nan;nan;nan;nan;nan;0
7873918928;7873918836;0.15023935;0.45389733;0.3587574;0.29350585;nan;nan;nan;nan;nan;nan;nan;nan;0
7874019415;7874019323;0.32747722;0.27258068;0.385388;0.270954;nan;nan;nan;nan;nan;nan;nan;nan;0
7874118453;7874118356;0.48047015;0.14020409;0.37373668;0.261989;nan;nan;nan;nan;nan;nan;nan;nan;0
7874218885;7874218795;0.40833506;0.22367254;0.34848103;0.27591127;nan;nan;nan;nan;nan;nan;nan;nan;0
7874317882;7874317782;0.26901013;0.3732011;0.24949236;0.36469635;nan;nan;nan;nan;nan;nan;nan;nan;0
7874418410;7874418316;0.21677727;0.42682463;0.22988522;0.38291278;nan;nan;nan;nan;nan;nan;nan;nan;0
7874517347;7874517255;0.24550189;0.3916;0.2148785;0.4044195;nan;nan;nan;nan;nan;nan;nan;nan;0
7874617834;7874617741;0.2929297;0.33896232;0.25041258;0.3740953;nan;nan;nan;nan;nan;nan;nan;nan;0
7874719821;7874719728;0.2734618;0.35285997;0.25908467;0.37099347;nan;nan;nan;nan;nan;nan;nan;nan;0
7874817308;7874817215;0.28406283;0.3262758;0.30599242;0.34006885;nan;nan;nan;nan;nan;nan;nan;nan;0
7874919291;7874919201;0.19736004;0.3240182;0.3831287;0.35189298;nan;nan;nan;nan;nan;nan;nan;nan;0
7875016780;7875016688;0.16475436;0.26905173;0.37500945;0.4475844;nan;nan;nan;nan;nan;nan;nan;nan;0
7875118772;7875118674;0.10698493;0.26986578;0.40011743;0.47943178;nan;nan;nan;nan;nan;nan;nan;nan;0
7875220801;7875220707;0.09664035;0.22682133;0.43886754;0.4940707;nan;nan;nan;nan;nan;nan;nan;nan;0
7875318286;7875318194;0.07006211;0.2287331;0.44734985;0.51025486;nan;nan;nan;nan;nan;nan;nan;nan;0
7875420241;7875420133;0.08647902;0.23148285;0.426391;0.51204705;nan;nan;nan;nan;nan;nan;nan;nan;0
7875517710;7875517620;0.12072748;0.21296123;0.4460402;0.476671;nan;nan;nan;nan;nan;nan;nan;nan;0
7875619696;7875619606;0.118651345;0.2258551;0.38611615;0.52577734;nan;nan;nan;nan;nan;nan;nan;nan;0
7875717185;7875717093;0.086503655;0.26686603;0.39859205;0.5044382;nan;nan;nan;nan;nan;nan;nan;nan;0
7875819170;7875819079;0.15425748;0.19826636;0.435768;0.4681081;nan;nan;nan;nan;nan;nan;nan;nan;0
7875919657;7875919566;0.23325813;0.118620925;0.46446618;0.44005466;nan;nan;nan;nan;nan;nan;nan;nan;0
7876018643;7876018553;0.36445522;0.003865369;0.49096504;0.39711425;nan;nan;nan;nan;nan;nan;nan;nan;0
7876119196;7876119039;0.280004;0.097095884;0.42638692;0.45291317;nan;nan;nan;nan;nan;nan;nan;nan;0
7876218168;7876218073;0.056573004;0.31995493;0.38701499;0.49285698;nan;nan;nan;nan;nan;nan;nan;nan;0
7876318606;7876318512;0.0;0.5493971;0.21300149;0.49400136;nan;nan;nan;nan;nan;nan;nan;nan;0
7876417589;7876417498;5.0160676e-10;0.38153082;0.19791357;0.6769555;nan;nan;nan;nan;nan;nan;nan;nan;0
7876518120;7876518032;0.09916769;0.27477682;0.3766251;0.50583035;nan;nan;nan;nan;nan;nan;nan;nan;0
7876620063;7876619971;0.36213675;0.18813;0.36692718;0.33920595;nan;nan;nan;nan;nan;nan;nan;nan;0
7876717548;7876717458;0.34945443;0.2815075;0.34420598;0.281232;nan;nan;nan;nan;nan;nan;nan;nan;0
7876819534;7876819444;0.29654843;0.3436616;0.274962;0.34122786;nan;nan;nan;nan;nan;nan;nan;nan;0
7876918521;7876918431;0.22065672;0.3955623;0.25411803;0.3860629;nan;nan;nan;nan;nan;nan;nan;nan;0
7877019009;7877018917;0.22747216;0.3599084;0.2514573;0.41756207;nan;nan;nan;nan;nan;nan;nan;nan;0
7877116895;7877116404;0.2543894;0.31723094;0.3189156;0.365864;nan;nan;nan;nan;nan;nan;nan;nan;0
7877218482;7877218391;0.28963342;0.31366873;0.35038337;0.30271438;nan;nan;nan;nan;nan;nan;nan;nan;0
7877320514;7877320424;0.30127776;0.3425909;0.3179419;0.29458937;nan;nan;nan;nan;nan;nan;nan;nan;0
7877418005;7877417911;0.31543922;0.39276084;0.26792586;0.28027397;nan;nan;nan;nan;nan;nan;nan;nan;0
7877519945;7877519850;0.35312587;0.42161417;0.19370651;0.28795332;nan;nan;nan;nan;nan;nan;nan;nan;0
7877617425;7877617337;0.39460588;0.42098424;0.14310728;0.29770252;nan;nan;nan;nan;nan;nan;nan;nan;0
