timestamp;accel_device_id_primary;accel_device_ids[0];accel_device_ids[1];accel_device_ids[2];accel_device_ids[3];accel_inconsistency_m_s_s[0];accel_inconsistency_m_s_s[1];accel_inconsistency_m_s_s[2];accel_inconsistency_m_s_s[3];gyro_device_id_primary;gyro_device_ids[0];gyro_device_ids[1];gyro_device_ids[2];gyro_device_ids[3];gyro_inconsistency_rad_s[0];gyro_inconsistency_rad_s[1];gyro_inconsistency_rad_s[2];gyro_inconsistency_rad_s[3];accel_healthy[0];accel_healthy[1];accel_healthy[2];accel_healthy[3];accel_priority[0];accel_priority[1];accel_priority[2];accel_priority[3];gyro_healthy[0];gyro_healthy[1];gyro_healthy[2];gyro_healthy[3];gyro_priority[0];gyro_priority[1];gyro_priority[2];gyro_priority[3]
7866315033;4259850;4259850;2490378;0;0;0.15304455;0.15304454;0.0;0.0;4325386;4325386;2490378;0;0;0.005069956;0.005069956;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7866319585;4259850;4259850;2490378;0;0;0.15343422;0.15343417;0.0;0.0;4325386;4325386;2490378;0;0;0.004857988;0.004857988;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7866517507;4259850;4259850;2490378;0;0;0.15514202;0.15514201;0.0;0.0;4325386;4325386;2490378;0;0;0.005139181;0.0051391814;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7866715509;4259850;4259850;2490378;0;0;0.15570773;0.15570772;0.0;0.0;4325386;4325386;2490378;0;0;0.0050576646;0.0050576646;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7866917942;4259850;4259850;2490378;0;0;0.19289711;0.19289707;0.0;0.0;4325386;4325386;2490378;0;0;0.005156362;0.0051563615;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7867115929;4259850;4259850;2490378;0;0;0.15420872;0.15420876;0.0;0.0;4325386;4325386;2490378;0;0;0.004898854;0.004898854;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7867313900;4259850;4259850;2490378;0;0;0.1621806;0.16218062;0.0;0.0;4325386;4325386;2490378;0;0;0.005477315;0.005477315;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7867520880;4259850;4259850;2490378;0;0;0.14979096;0.14979094;0.0;0.0;4325386;4325386;2490378;0;0;0.005939671;0.005939671;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7867718852;4259850;4259850;2490378;0;0;0.15440384;0.1544038;0.0;0.0;4325386;4325386;2490378;0;0;0.005198482;0.005198482;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7867916854;4259850;4259850;2490378;0;0;0.14947692;0.14947699;0.0;0.0;4325386;4325386;2490378;0;0;0.0050680013;0.0050680013;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7868119320;4259850;4259850;2490378;0;0;0.14017148;0.14017145;0.0;0.0;4325386;4325386;2490378;0;0;0.005920162;0.0059201615;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7868317251;4259850;4259850;2490378;0;0;0.10643856;0.10643854;0.0;0.0;4325386;4325386;2490378;0;0;0.0066842325;0.0066842325;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7868515230;4259850;4259850;2490378;0;0;0.12013855;0.12013856;0.0;0.0;4325386;4325386;2490378;0;0;0.006341749;0.006341756;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7868717694;4259850;4259850;2490378;0;0;0.23847646;0.23847643;0.0;0.0;4325386;4325386;2490378;0;0;0.006864155;0.0068641417;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7868920195;4259850;4259850;2490378;0;0;0.13308185;0.13308193;0.0;0.0;4325386;4325386;2490378;0;0;0.012897802;0.0128977895;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7869118152;4259850;4259850;2490378;0;0;0.08100533;0.081005335;0.0;0.0;4325386;4325386;2490378;0;0;0.0064731473;0.006473142;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7869316082;4259850;4259850;2490378;0;0;0.095436364;0.095436364;0.0;0.0;4325386;4325386;2490378;0;0;0.0076413983;0.007641399;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7869518600;4259850;4259850;2490378;0;0;0.06926129;0.069261275;0.0;0.0;4325386;4325386;2490378;0;0;0.0045487233;0.0045487243;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7869716608;4259850;4259850;2490378;0;0;0.07140219;0.071402214;0.0;0.0;4325386;4325386;2490378;0;0;0.0056736185;0.0056736176;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7869914533;4259850;4259850;2490378;0;0;0.026965631;0.02696567;0.0;0.0;4325386;4325386;2490378;0;0;0.0048045046;0.004804505;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7870117051;4259850;4259850;2490378;0;0;0.12514548;0.12514547;0.0;0.0;4325386;4325386;2490378;0;0;0.005755072;0.0057550725;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7870319498;4259850;4259850;2490378;0;0;0.12039542;0.12039537;0.0;0.0;4325386;4325386;2490378;0;0;0.0055081276;0.0055081276;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7870517481;4259850;4259850;2490378;0;0;0.06679114;0.06679114;0.0;0.0;4325386;4325386;2490378;0;0;0.004242583;0.0042425827;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7870719949;4259850;4259850;2490378;0;0;0.1038977;0.10389773;0.0;0.0;4325386;4325386;2490378;0;0;0.004975026;0.004975026;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7870917962;4259850;4259850;2490378;0;0;0.08445665;0.08445668;0.0;0.0;4325386;4325386;2490378;0;0;0.0051145665;0.005114564;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7871115892;4259850;4259850;2490378;0;0;0.09648769;0.0964877;0.0;0.0;4325386;4325386;2490378;0;0;0.005078655;0.0050786547;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7871318355;4259850;4259850;2490378;0;0;0.06886419;0.06886419;0.0;0.0;4325386;4325386;2490378;0;0;0.0067949137;0.0067949146;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7871516366;4259850;4259850;2490378;0;0;0.11095849;0.11095851;0.0;0.0;4325386;4325386;2490378;0;0;0.0037161575;0.0037161587;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7871718877;4259850;4259850;2490378;0;0;0.17350818;0.1735082;0.0;0.0;4325386;4325386;2490378;0;0;0.005669632;0.0056696306;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7871916812;4259850;4259850;2490378;0;0;0.046891708;0.046891596;0.0;0.0;4325386;4325386;2490378;0;0;0.007747759;0.0077477596;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7872119236;4259850;4259850;2490378;0;0;0.15712465;0.1571247;0.0;0.0;4325386;4325386;2490378;0;0;0.0059206253;0.005920627;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7872317259;4259850;4259850;2490378;0;0;0.16398989;0.16398993;0.0;0.0;4325386;4325386;2490378;0;0;0.014011892;0.014011892;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7872515193;4259850;4259850;2490378;0;0;0.034095835;0.034095842;0.0;0.0;4325386;4325386;2490378;0;0;0.004660974;0.0046609784;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7872717665;4259850;4259850;2490378;0;0;0.07699426;0.07699421;0.0;0.0;4325386;4325386;2490378;0;0;0.014050443;0.01405045;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7872915659;4259850;4259850;2490378;0;0;0.06750267;0.067502685;0.0;0.0;4325386;4325386;2490378;0;0;0.009187017;0.009187012;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7873118118;4259850;4259850;2490378;0;0;0.15982676;0.15982677;0.0;0.0;4325386;4325386;2490378;0;0;0.0039334786;0.0039334767;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7873316124;4259850;4259850;2490378;0;0;0.10735606;0.10735606;0.0;0.0;4325386;4325386;2490378;0;0;0.0027089114;0.0027089133;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7873518602;4259850;4259850;2490378;0;0;0.19281079;0.19281071;0.0;0.0;4325386;4325386;2490378;0;0;0.015387266;0.015387282;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7873716522;4259850;4259850;2490378;0;0;0.118216485;0.11821646;0.0;0.0;4325386;4325386;2490378;0;0;0.013235924;0.013235921;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7873918999;4259850;4259850;2490378;0;0;0.06350317;0.06350315;0.0;0.0;4325386;4325386;2490378;0;0;0.010432796;0.010432795;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7874117013;4259850;4259850;2490378;0;0;0.082591645;0.082591675;0.0;0.0;4325386;4325386;2490378;0;0;0.011236016;0.0112360185;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7874314962;4259850;4259850;2490378;0;0;0.16041045;0.16041051;0.0;0.0;4325386;4325386;2490378;0;0;0.016231693;0.016231688;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7874517441;4259850;4259850;2490378;0;0;0.10909137;0.10909131;0.0;0.0;4325386;4325386;2490378;0;0;0.014906247;0.014906241;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7874719909;4259850;4259850;2490378;0;0;0.13977878;0.13977876;0.0;0.0;4325386;4325386;2490378;0;0;0.009731897;0.009731895;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7874917913;4259850;4259850;2490378;0;0;0.23971622;0.23971619;0.0;0.0;4325386;4325386;2490378;0;0;0.004782304;0.0047823032;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7875116009;4259850;4259850;2490378;0;0;0.08836374;0.08836372;0.0;0.0;4325386;4325386;2490378;0;0;0.0061070565;0.0061070556;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7875318354;4259850;4259850;2490378;0;0;0.13724306;0.13724297;0.0;0.0;4325386;4325386;2490378;0;0;0.007912913;0.007912913;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7875516284;4259850;4259850;2490378;0;0;0.14017944;0.1401793;0.0;0.0;4325386;4325386;2490378;0;0;0.01022426;0.01022426;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7875714272;4259850;4259850;2490378;0;0;0.11313251;0.11313249;0.0;0.0;4325386;4325386;2490378;0;0;0.007191777;0.00719178;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7875916739;4259850;4259850;2490378;0;0;0.13191414;0.13191417;0.0;0.0;4325386;4325386;2490378;0;0;0.004902125;0.00490212;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7876119276;4259850;4259850;2490378;0;0;0.09871452;0.09871453;0.0;0.0;4325386;4325386;2490378;0;0;0.012646266;0.012646275;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7876317280;4259850;4259850;2490378;0;0;0.13660732;0.13660729;0.0;0.0;4325386;4325386;2490378;0;0;0.016802356;0.016802374;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
7876515156;4259850;4259850;2490378;0;0;0.09792779;0.097927764;0.0;0.0;4325386;4325386;2490378;0;0;0.02200806;0.02200807;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
