timestamp;io_errors;frames_tx;frames_rx;interface
7866275093;222329;218402;0;1
7866376826;222335;218402;0;1
7866479163;222335;218402;0;1
7866581057;222335;218402;0;1
7866682812;222336;218414;0;1
7866784812;222347;218417;0;1
7866887025;222350;218417;0;1
7866988843;222350;218417;0;1
7867090811;222350;218417;0;1
7867192931;222350;218417;0;1
7867294810;222350;218420;0;1
7867396811;222353;218420;0;1
7867498870;222353;218420;0;1
7867600811;222353;218420;0;1
7867702812;222354;218432;0;1
7867805248;222365;218432;0;1
7867906812;222365;218435;0;1
7868008813;222368;218435;0;1
7868110967;222368;218435;0;1
7868212811;222368;218435;0;1
7868314811;222368;218435;0;1
7868416821;222368;218438;0;1
7868518818;222371;218438;0;1
7868620812;222371;218438;0;1
7868722811;222372;218450;0;1
7868824810;222383;218452;0;1
7868926823;222385;218453;0;1
7869028813;222386;218453;0;1
7869131156;222386;218453;0;1
7869232811;222386;218453;0;1
7869334852;222386;218455;0;1
7869436809;222388;218456;0;1
7869538811;222389;218456;0;1
7869640811;222390;218456;0;1
7869742811;222390;218468;0;1
7869844810;222401;218470;0;1
7869946818;222403;218471;0;1
7870048813;222404;218471;0;1
7870150810;222404;218471;0;1
7870252811;222404;218471;0;1
7870354810;222404;218473;0;1
7870456810;222406;218474;0;1
7870558814;222407;218474;0;1
7870660809;222408;218474;0;1
7870762836;222408;218486;0;1
7870864811;222419;218488;0;1
7870966810;222421;218489;0;1
7871068824;222422;218489;0;1
7871170811;222422;218489;0;1
7871272819;222422;218489;0;1
7871374848;222422;218492;0;1
7871477008;222425;218492;0;1
7871578811;222425;218492;0;1
7871680811;222426;218504;0;1
7871782810;222437;218504;0;1
7871884810;222437;218507;0;1
7871986811;222440;218507;0;1
7872088812;222440;218507;0;1
7872190810;222440;218507;0;1
7872292837;222440;218507;0;1
7872394810;222440;218510;0;1
7872496810;222443;218510;0;1
7872598812;222443;218510;0;1
7872700812;222444;218522;0;1
7872802811;222455;218522;0;1
7872904811;222455;218525;0;1
7873006811;222458;218525;0;1
7873108813;222458;218525;0;1
7873210811;222458;218525;0;1
7873312815;222458;218525;0;1
7873414820;222458;218528;0;1
7873516811;222461;218528;0;1
7873618815;222461;218528;0;1
7873720811;222462;218540;0;1
7873822811;222473;218540;0;1
7873924811;222473;218543;0;1
7874026809;222476;218543;0;1
7874129070;222476;218543;0;1
7874230811;222476;218543;0;1
7874332820;222476;218543;0;1
7874434882;222476;218546;0;1
7874536810;222479;218546;0;1
7874638997;222480;218546;0;1
7874740812;222480;218558;0;1
7874842848;222491;218558;0;1
7874944961;222491;218561;0;1
7875046809;222494;218561;0;1
7875148813;222494;218561;0;1
7875250954;222494;218561;0;1
7875352809;222494;218561;0;1
7875454818;222494;218564;0;1
7875556887;222497;218564;0;1
7875658849;222498;218564;0;1
7875760811;222498;218576;0;1
7875862847;222509;218576;0;1
7875964813;222509;218579;0;1
7876066811;222512;218579;0;1
7876168871;222512;218579;0;1
7876270810;222512;218579;0;1
7876372812;222512;218579;0;1
7876474880;222512;218582;0;1
7876576811;222515;218582;0;1
7876678814;222516;218594;0;1
7876780811;222527;218594;0;1
7876882811;222527;218594;0;1
7876984810;222527;218597;0;1
7877086820;222530;218597;0;1
7877188812;222530;218597;0;1
7877290811;222530;218597;0;1
7877392811;222530;218597;0;1
7877494813;222530;218600;0;1
7877596812;222533;218600;0;1
7877698826;222534;218612;0;1
7877800834;222545;218612;0;1
7877902812;222545;218612;0;1
7878004810;222545;218615;0;1
7878106813;222548;218615;0;1
7878208813;222548;218615;0;1
7878310811;222548;218615;0;1
7878412812;222548;218615;0;1
7878514811;222548;218618;0;1
7878616909;222551;218618;0;1
7878718816;222552;218630;0;1
7878820812;222563;218630;0;1
7878922810;222563;218632;0;1
7879024810;222565;218633;0;1
7879126988;222566;218633;0;1
7879228813;222566;218633;0;1
7879330813;222566;218633;0;1
7879432810;222566;218635;0;1
7879534812;222568;218636;0;1
7879636810;222570;218636;0;1
7879738822;222570;218648;0;1
7879840825;222581;218648;0;1
7879942810;222581;218650;0;1
7880044808;222583;218651;0;1
7880146811;222584;218651;0;1
7880248813;222584;218651;0;1
7880350811;222584;218651;0;1
7880453518;222584;218651;0;1
7880554811;222584;218654;0;1
7880656833;222588;218654;0;1
7880758814;222588;218666;0;1
7880860811;222599;218666;0;1
7880962810;222599;218666;0;1
7881064809;222599;218669;0;1
7881166811;222602;218669;0;1
7881268847;222602;218669;0;1
7881370813;222602;218669;0;1
7881472820;222602;218672;0;1
7881574809;222605;218672;0;1
7881676808;222606;218684;0;1
7881778813;222617;218684;0;1
7881880822;222617;218684;0;1
7881982811;222617;218687;0;1
7882084824;222620;218687;0;1
7882186810;222620;218687;0;1
7882288812;222620;218687;0;1
