timestamp;armed;prearmed;ready_to_arm;lockdown;kill;termination;in_esc_calibration_mode
7866257344;1;0;1;0;0;0;0
7866758799;1;0;1;0;0;0;0
7867265069;1;0;1;0;0;0;0
7867770806;1;0;1;0;0;0;0
7868276982;1;0;1;0;0;0;0
7868782758;1;0;1;0;0;0;0
7869288757;1;0;1;0;0;0;0
7869795759;1;0;1;0;0;0;0
7870301778;1;0;1;0;0;0;0
7870807778;1;0;1;0;0;0;0
7871313776;1;0;1;0;0;0;0
7871819759;1;0;1;0;0;0;0
7872325758;1;0;1;0;0;0;0
7872831758;1;0;1;0;0;0;0
7873337777;1;0;1;0;0;0;0
7873843754;1;0;1;0;0;0;0
7874349778;1;0;1;0;0;0;0
7874855777;1;0;1;0;0;0;0
7875361777;1;0;1;0;0;0;0
7875867780;1;0;1;0;0;0;0
7876373778;1;0;1;0;0;0;0
7876879861;1;0;1;0;0;0;0
7877385758;1;0;1;0;0;0;0
7877892758;1;0;1;0;0;0;0
7878398803;1;0;1;0;0;0;0
7878904760;1;0;1;0;0;0;0
7879410758;1;0;1;0;0;0;0
7879917450;1;0;1;0;0;0;0
7880422770;1;0;1;0;0;0;0
7880928767;1;0;1;0;0;0;0
7881434778;1;0;1;0;0;0;0
7881940757;1;0;1;0;0;0;0
7882446895;1;0;1;0;0;0;0
7882952758;1;0;1;0;0;0;0
7883458758;1;0;1;0;0;0;0
7883964794;1;0;1;0;0;0;0
7884471197;1;0;1;0;0;0;0
7884976759;1;0;1;0;0;0;0
7885482783;1;0;1;0;0;0;0
7885988782;1;0;1;0;0;0;0
7886495638;1;0;1;0;0;0;0
7887000758;1;0;1;0;0;0;0
7887506779;1;0;1;0;0;0;0
7888012817;1;0;1;0;0;0;0
7888519032;1;0;1;0;0;0;0
7889024817;1;0;1;0;0;0;0
7889530827;1;0;1;0;0;0;0
7890036931;1;0;1;0;0;0;0
7890542759;1;0;1;0;0;0;0
7891049010;1;0;1;0;0;0;0
7891554758;1;0;1;0;0;0;0
7892060757;1;0;1;0;0;0;0
7892566837;1;0;1;0;0;0;0
7893073355;1;0;1;0;0;0;0
7893578773;1;0;1;0;0;0;0
7894084758;1;0;1;0;0;0;0
7894590757;1;0;1;0;0;0;0
7895096758;1;0;1;0;0;0;0
7895602758;1;0;1;0;0;0;0
7896108758;1;0;1;0;0;0;0
7896614757;1;0;1;0;0;0;0
7897120822;1;0;1;0;0;0;0
7897627059;1;0;1;0;0;0;0
7898132758;1;0;1;0;0;0;0
7898639757;1;0;1;0;0;0;0
7899145758;1;0;1;0;0;0;0
7899651759;1;0;1;0;0;0;0
7900157857;1;0;1;0;0;0;0
7900663759;1;0;1;0;0;0;0
7901169792;1;0;1;0;0;0;0
7901676148;1;0;1;0;0;0;0
7902181761;1;0;1;0;0;0;0
7902687758;1;0;1;0;0;0;0
7903193759;1;0;1;0;0;0;0
7903699757;1;0;1;0;0;0;0
7904205814;1;0;1;0;0;0;0
7904711803;1;0;1;0;0;0;0
7905218758;1;0;1;0;0;0;0
7905724756;1;0;1;0;0;0;0
7906230778;1;0;1;0;0;0;0
7906737895;1;0;1;0;0;0;0
7907243809;1;0;1;0;0;0;0
7907750356;1;0;1;0;0;0;0
7908255814;1;0;1;0;0;0;0
7908761758;1;0;1;0;0;0;0
7909267954;1;0;1;0;0;0;0
7909773812;1;0;1;0;0;0;0
7910279759;1;0;1;0;0;0;0
7910785758;1;0;1;0;0;0;0
7911291760;1;0;1;0;0;0;0
7911797910;1;0;1;0;0;0;0
7912303780;1;0;1;0;0;0;0
7912809757;1;0;1;0;0;0;0
7913315780;1;0;1;0;0;0;0
7913821758;1;0;1;0;0;0;0
7914328559;1;0;1;0;0;0;0
7914833783;1;0;1;0;0;0;0
7915339757;1;0;1;0;0;0;0
7915845759;1;0;1;0;0;0;0
7916351779;1;0;1;0;0;0;0
7916858148;1;0;1;0;0;0;0
7917363778;1;0;1;0;0;0;0
7917869796;1;0;1;0;0;0;0
7918375781;1;0;1;0;0;0;0
7918881759;1;0;1;0;0;0;0
7919387973;1;0;1;0;0;0;0
7919893771;1;0;1;0;0;0;0
7920399777;1;0;1;0;0;0;0
7920906757;1;0;1;0;0;0;0
7921412757;1;0;1;0;0;0;0
7921918996;1;0;1;0;0;0;0
7922424757;1;0;1;0;0;0;0
7922931083;1;0;1;0;0;0;0
7923436758;1;0;1;0;0;0;0
7923942771;1;0;1;0;0;0;0
7924449025;1;0;1;0;0;0;0
7924954781;1;0;1;0;0;0;0
7925460817;1;0;1;0;0;0;0
7925967757;1;0;1;0;0;0;0
7926473760;1;0;1;0;0;0;0
7926980559;1;0;1;0;0;0;0
7927485771;1;0;1;0;0;0;0
7927991876;1;0;1;0;0;0;0
7928497782;1;0;1;0;0;0;0
7929003789;1;0;1;0;0;0;0
7929510068;1;0;1;0;0;0;0
7930016096;1;0;1;0;0;0;0
7930521760;1;0;1;0;0;0;0
7931027860;1;0;1;0;0;0;0
7931533758;1;0;1;0;0;0;0
7932039966;1;0;1;0;0;0;0
7932545757;1;0;1;0;0;0;0
7933051778;1;0;1;0;0;0;0
7933557757;1;0;1;0;0;0;0
7934063828;1;0;1;0;0;0;0
7934570918;1;0;1;0;0;0;0
7935076821;1;0;1;0;0;0;0
7935583417;1;0;1;0;0;0;0
7936088759;1;0;1;0;0;0;0
7936595757;1;0;1;0;0;0;0
7937102141;1;0;1;0;0;0;0
7937607817;1;0;1;0;0;0;0
7938113759;1;0;1;0;0;0;0
7938619849;1;0;1;0;0;0;0
7939125758;1;0;1;0;0;0;0
7939631758;1;0;1;0;0;0;0
7940137758;1;0;1;0;0;0;0
7940643758;1;0;1;0;0;0;0
7941149823;1;0;1;0;0;0;0
7941655758;1;0;1;0;0;0;0
7942161758;1;0;1;0;0;0;0
7942667781;1;0;1;0;0;0;0
7943174760;1;0;1;0;0;0;0
7943681032;1;0;1;0;0;0;0
7944186779;1;0;1;0;0;0;0
7944692764;1;0;1;0;0;0;0
7945198758;1;0;1;0;0;0;0
7945704758;1;0;1;0;0;0;0
7946210932;1;0;1;0;0;0;0
7946716872;1;0;1;0;0;0;0
7947222777;1;0;1;0;0;0;0
7947728759;1;0;1;0;0;0;0
7948235789;1;0;1;0;0;0;0
7948741757;1;0;1;0;0;0;0
7949247759;1;0;1;0;0;0;0
7949754776;1;0;1;0;0;0;0
7950260970;1;0;1;0;0;0;0
7950766758;1;0;1;0;0;0;0
7951272759;1;0;1;0;0;0;0
7951778778;1;0;1;0;0;0;0
7952284778;1;0;1;0;0;0;0
7952790979;1;0;1;0;0;0;0
7953296759;1;0;1;0;0;0;0
7953802757;1;0;1;0;0;0;0
7954309061;1;0;1;0;0;0;0
7954814757;1;0;1;0;0;0;0
7955321796;1;0;1;0;0;0;0
7955827835;1;0;1;0;0;0;0
7956333790;1;0;1;0;0;0;0
7956839759;1;0;1;0;0;0;0
7957345771;1;0;1;0;0;0;0
7957851894;1;0;1;0;0;0;0
7958357776;1;0;1;0;0;0;0
7958863782;1;0;1;0;0;0;0
7959369779;1;0;1;0;0;0;0
7959875772;1;0;1;0;0;0;0
7960381976;1;0;1;0;0;0;0
7960887757;1;0;1;0;0;0;0
7961393758;1;0;1;0;0;0;0
7961899769;1;0;1;0;0;0;0
7962405804;1;0;1;0;0;0;0
7962912289;1;0;1;0;0;0;0
7963417785;1;0;1;0;0;0;0
7963923778;1;0;1;0;0;0;0
7964429758;1;0;1;0;0;0;0
7964936252;1;0;1;0;0;0;0
7965441916;1;0;1;0;0;0;0
7965947759;1;0;1;0;0;0;0
7966453818;1;0;1;0;0;0;0
7966959825;1;0;1;0;0;0;0
7967465831;1;0;1;0;0;0;0
7967971970;1;0;1;0;0;0;0
7968477760;1;0;1;0;0;0;0
7968983786;1;0;1;0;0;0;0
7969489758;1;0;1;0;0;0;0
7969995875;1;0;1;0;0;0;0
7970501914;1;0;1;0;0;0;0
7971007757;1;0;1;0;0;0;0
7971514172;1;0;1;0;0;0;0
7972019757;1;0;1;0;0;0;0
7972525777;1;0;1;0;0;0;0
7973031996;1;0;1;0;0;0;0
7973537757;1;0;1;0;0;0;0
7974043778;1;0;1;0;0;0;0
7974549757;1;0;1;0;0;0;0
7975055758;1;0;1;0;0;0;0
7975562006;1;0;1;0;0;0;0
7976067818;1;0;1;0;0;0;0
7976573855;1;0;1;0;0;0;0
7977079760;1;0;1;0;0;0;0
7977585778;1;0;1;0;0;0;0
7978092395;1;0;1;0;0;0;0
7978597979;1;0;1;0;0;0;0
7979103966;1;0;1;0;0;0;0
7979609758;1;0;1;0;0;0;0
7980115759;1;0;1;0;0;0;0
7980621901;1;0;1;0;0;0;0
7981127759;1;0;1;0;0;0;0
7981633854;1;0;1;0;0;0;0
7982139759;1;0;1;0;0;0;0
7982645784;1;0;1;0;0;0;0
7983151922;1;0;1;0;0;0;0
7983657758;1;0;1;0;0;0;0
7984163759;1;0;1;0;0;0;0
7984670880;1;0;1;0;0;0;0
7985176779;1;0;1;0;0;0;0
7985682759;1;0;1;0;0;0;0
7986188759;1;0;1;0;0;0;0
7986694779;1;0;1;0;0;0;0
7987200876;1;0;1;0;0;0;0
7987706778;1;0;1;0;0;0;0
7988212757;1;0;1;0;0;0;0
7988719156;1;0;1;0;0;0;0
7989224760;1;0;1;0;0;0;0
7989731392;1;0;1;0;0;0;0
7990236782;1;0;1;0;0;0;0
7990742761;1;0;1;0;0;0;0
7991248844;1;0;1;0;0;0;0
7991754818;1;0;1;0;0;0;0
7992260760;1;0;1;0;0;0;0
7992766776;1;0;1;0;0;0;0
7993272760;1;0;1;0;0;0;0
7993779018;1;0;1;0;0;0;0
7994284757;1;0;1;0;0;0;0
7994790758;1;0;1;0;0;0;0
7995296896;1;0;1;0;0;0;0
7995802776;1;0;1;0;0;0;0
7996308861;1;0;1;0;0;0;0
7996814759;1;0;1;0;0;0;0
7997322116;1;0;1;0;0;0;0
7997827758;1;0;1;0;0;0;0
7998333759;1;0;1;0;0;0;0
7998839777;1;0;1;0;0;0;0
7999346159;1;0;1;0;0;0;0
7999851894;1;0;1;0;0;0;0
8000357759;1;0;1;0;0;0;0
8000863758;1;0;1;0;0;0;0
8001369811;1;0;1;0;0;0;0
8001875760;1;0;1;0;0;0;0
8002381920;1;0;1;0;0;0;0
8002887758;1;0;1;0;0;0;0
8003393758;1;0;1;0;0;0;0
8003899758;1;0;1;0;0;0;0
8004405791;1;0;1;0;0;0;0
8004912352;1;0;1;0;0;0;0
8005417781;1;0;1;0;0;0;0
8005923910;1;0;1;0;0;0;0
8006429759;1;0;1;0;0;0;0
8006935911;1;0;1;0;0;0;0
8007441935;1;0;1;0;0;0;0
8007948759;1;0;1;0;0;0;0
8008455142;1;0;1;0;0;0;0
8008960758;1;0;1;0;0;0;0
8009466822;1;0;1;0;0;0;0
8009972911;1;0;1;0;0;0;0
