timestamp;yaw_sp_move_rate;q_d[0];q_d[1];q_d[2];q_d[3];thrust_body[0];thrust_body[1];thrust_body[2]
7866315121;2.5915675;0.25222516;-0.00010709956;-0.000410922;0.9676685;0.0;0.0;-0.0
7866319649;2.592153;0.25223505;-0.000107103755;-0.00041092088;0.96766585;0.0;0.0;-0.0
7866369103;2.5968094;0.252221;-0.00010709778;-0.00041092245;0.96766955;0.0;0.0;-0.0
7866418603;2.5993633;0.25224787;-0.0001071092;-0.00041091946;0.9676625;0.0;0.0;-0.0
7866468064;2.6007621;0.25224027;-0.00010710597;-0.00041092033;0.96766454;0.0;0.0;-0.0
7866517567;2.6015282;0.2522534;-0.000107111555;-0.00041091887;0.9676611;0.0;0.0;-0.0
7866567097;2.6019483;0.25225928;-0.00010711404;-0.0004109182;0.96765953;0.0;0.0;-0.0
7866616590;2.6021779;0.25225988;-0.0001071143;-0.00041091815;0.9676594;0.0;0.0;-0.0
7866670601;2.602312;0.25229344;-0.00010712855;-0.00041091442;0.96765065;0.0;0.0;-0.0
7866715566;2.6023731;0.2523406;-0.00010714858;-0.0004109092;0.9676384;0.0;0.0;-0.0
7866765063;2.6024113;0.2523374;-0.000107147214;-0.00041090956;0.9676392;0.0;0.0;-0.0
7866819043;2.6024332;0.25253567;-0.00010723141;-0.00041088762;0.9675875;0.0;0.0;-0.0
7866868533;2.6024437;0.25242275;-0.00010718346;-0.0004109001;0.9676169;0.0;0.0;-0.0
7866917998;2.6024497;0.2521685;-0.000107075495;-0.00041092825;0.9676832;0.0;0.0;-0.0
7866967512;2.6090002;0.2523195;-0.00010713962;-0.00041091154;0.96764386;0.0;0.0;-0.0
7867017035;2.6130698;0.25256243;-0.00010724278;-0.00041088465;0.9675805;0.0;0.0;-0.0
7867066512;2.615295;0.25265366;-0.000107281514;-0.00041087452;0.96755666;0.0;0.0;-0.0
7867115987;2.5714195;0.25273234;-0.000107314925;-0.00041086582;0.9675361;0.0;0.0;-0.0
7867170002;2.1163182;0.25278747;-0.00010733834;-0.0004108597;0.9675217;0.0;0.0;-0.0
7867219591;1.2825991;0.2528757;-0.0001073758;-0.00041084993;0.96749866;0.0;0.0;-0.0
7867269004;0.70295864;0.25294995;-0.000107407344;-0.00041084166;0.9674792;0.0;0.0;-0.0
7867313953;0.40672302;0.25304833;-0.00010744912;-0.00041083072;0.9674535;0.0;0.0;-0.0
7867368051;0.21091807;0.25325212;-0.000107535656;-0.0004108081;0.9674002;0.0;0.0;-0.0
7867417508;0.115538396;0.25339165;-0.00010759491;-0.0004107926;0.96736366;0.0;0.0;-0.0
7867467000;0.06325463;0.25347757;-0.0001076314;-0.00041078302;0.9673411;0.0;0.0;-0.0
7867520935;0.03282273;0.25358206;-0.00010767577;-0.0004107714;0.96731377;0.0;0.0;-0.0
7867565984;0.018990597;0.25366783;-0.00010771219;-0.00041076183;0.96729124;0.0;0.0;-0.0
7867615467;0.010402575;0.2537503;-0.00010774721;-0.00041075266;0.96726966;0.0;0.0;-0.0
7867664943;0.0056982045;0.25382027;-0.00010777693;-0.00041074486;0.96725124;0.0;0.0;-0.0
7867718938;0.0029551461;0.25388336;-0.00010780372;-0.00041073785;0.96723473;0.0;0.0;-0.0
7867768434;0.0016187363;0.25401306;-0.000107858796;-0.00041072335;0.96720064;0.0;0.0;-0.0
7867817934;0.00088670343;0.2541287;-0.000107907894;-0.0004107105;0.9671703;0.0;0.0;-0.0
7867867412;0.00048571412;0.2542515;-0.00010796005;-0.00041069675;0.967138;0.0;0.0;-0.026111022
7867916909;0.00026591105;0.25439596;-0.00010802139;-0.00041068063;0.9671;0.0;0.0;-0.06911738
7867966368;0.0001457405;0.2548006;-0.00010819321;-0.0004106354;0.9669935;0.0;0.0;-0.086012736
7868015862;7.983302e-05;0.25578803;-0.000108612534;-0.00041052466;0.96673274;0.0;0.0;-0.10734203
7868069836;4.1401698e-05;0.2577866;-0.00010946123;-0.0004102992;0.9662017;0.0;0.0;-0.12810339
7868119379;2.266621e-05;0.26064757;-0.00011067615;-0.00040997317;0.9654339;0.0;0.0;-0.15669808
7868164374;1.3114231e-05;0.2645505;-0.00011233354;-0.00040952212;0.9643717;0.0;0.0;-0.16831437
7868218327;6.804872e-06;0.2716586;-0.000115352;-0.0004086822;0.9623936;0.0;0.0;-0.22369581
