timestamp;rxerrors;fix;rssi;remote_rssi;txbuf;noise;remote_noise
7866162287;0;0;17;0;100;28;0
7866864687;0;0;17;0;96;30;0
7867315509;0;0;17;0;100;28;0
7867773172;0;0;17;0;100;29;0
7868240425;0;0;17;0;96;26;0
7868702578;0;0;17;0;100;26;0
7869210320;0;0;17;0;97;21;0
7869856479;0;0;17;0;100;27;0
7870321541;0;0;17;0;100;25;0
7870779793;0;0;17;0;98;22;0
7871239236;0;0;17;0;100;28;0
7871711993;0;0;17;0;100;32;0
7872162606;0;0;17;0;100;34;0
7872677594;0;0;22;0;100;33;0
7873316469;0;0;26;0;97;30;0
7873783581;0;0;29;0;96;29;0
7874243155;0;0;31;0;98;37;0
7874712934;0;0;32;0;100;30;0
7875176171;0;0;33;0;100;35;0
7875639133;0;0;34;0;100;34;0
7876168138;0;0;35;0;100;33;0
7876793277;0;0;35;0;100;29;0
7877250194;0;0;35;0;100;36;0
7877713781;0;0;35;0;100;22;0
7878185616;0;0;35;0;100;23;0
7878645715;0;0;32;0;100;23;0
7879338452;0;0;29;0;100;22;0
7879843987;0;0;27;0;97;22;0
7880253687;0;0;26;0;100;30;0
7880716065;0;0;25;0;99;20;0
7881182145;0;0;24;0;100;19;0
7881651193;0;0;23;0;100;24;0
7882347926;0;0;23;0;100;26;0
7882803025;0;0;23;0;100;18;0
7883311606;0;0;23;0;100;30;0
7883717605;0;0;23;0;96;19;0
7884190235;0;0;23;0;97;20;0
7884656009;0;0;23;0;100;29;0
7885348699;0;0;23;0;100;23;0
7885803644;0;0;23;0;98;21;0
7886270687;0;0;23;0;100;32;0
7886746050;0;0;26;0;85;20;0
7887193144;0;0;26;0;100;20;0
7887658504;0;0;28;0;100;27;0
7888341144;0;0;31;0;97;29;0
7888807298;0;0;32;0;97;23;0
7889277140;0;0;33;0;100;29;0
7889739665;0;0;33;0;100;31;0
7890196748;0;0;33;0;100;22;0
7890660466;0;0;33;0;96;32;0
7891352158;0;0;33;0;99;31;0
7891813691;0;0;33;0;100;22;0
7892284955;0;0;33;0;100;21;0
7892737274;0;0;30;0;100;26;0
7893203538;0;0;27;0;100;24;0
7893658581;0;0;25;0;95;30;0
7894359163;0;0;24;0;98;29;0
7894821678;0;0;23;0;100;22;0
7895289765;0;0;22;0;100;19;0
7895748543;0;0;21;0;100;28;0
7896207435;0;0;21;0;100;23;0
7896674550;0;0;21;0;100;24;0
7897380283;0;0;21;0;87;32;0
7897834777;0;0;21;0;100;20;0
7898292864;0;0;21;0;100;23;0
7898754322;0;0;21;0;96;31;0
7899224419;0;0;21;0;100;25;0
7899673864;0;0;21;0;100;27;0
7900375755;0;0;21;0;100;28;0
7900828502;0;0;21;0;100;23;0
7901284958;0;0;21;0;100;17;0
7901754564;0;0;21;0;98;30;0
7902232018;0;0;21;0;100;28;0
7902682085;0;0;21;0;100;26;0
7903373413;0;0;21;0;100;22;0
7903835191;0;0;21;0;100;27;0
7904295262;0;0;21;0;98;20;0
7904762751;0;0;21;0;99;32;0
7905230636;0;0;21;0;100;21;0
7905691380;0;0;21;0;100;20;0
7906384506;0;0;21;0;100;20;0
7906839040;0;0;21;0;100;27;0
7907315218;0;0;21;0;100;22;0
7907768793;0;0;21;0;100;22;0
7908228560;0;0;21;0;100;20;0
7908686475;0;0;21;0;96;19;0
7909388110;0;0;21;0;96;24;0
7909853682;0;0;21;0;100;21;0
7910308059;0;0;21;0;100;27;0
7910770754;0;0;21;0;100;23;0
7911467748;0;0;21;0;100;22;0
7911744010;0;0;21;0;100;22;0
7912388109;0;0;21;0;100;19;0
7912861894;0;0;21;0;100;21;0
7913316172;0;0;21;0;100;29;0
7913773225;0;0;21;0;100;23;0
7914253981;0;0;21;0;100;25;0
