timestamp;timestamp_sample;device_id;x;y;z;temperature;error_count;clip_counter[0];clip_counter[1];clip_counter[2];samples
7867017712;7867017619;2490378;0.0008660031;-0.011704365;-0.011317994;38.22464;0;0;0;0;10
7868019766;7868019675;2490378;0.04525199;-0.020397704;-0.04916899;38.20652;0;0;0;0;10
7869020585;7869020493;2490378;-0.23560613;-0.17825007;-0.048302986;38.333332;0;0;0;0;10
7870017694;7870017601;2490378;-0.12872137;0.24775682;0.031529173;38.24879;0;0;0;0;10
7871018512;7871018420;2490378;-0.06758155;0.29085714;0.04673752;38.146137;0;0;0;0;10
7872019345;7872019239;2490378;-0.49310216;0.025467152;0.07249778;38.27295;0;0;0;0;10
7873020151;7873020058;2490378;0.672971;-0.108690046;-0.055637367;38.22464;0;0;0;0;10
7874018495;7874018404;2490378;0.017026953;-1.1728346;0.04605804;38.266907;0;0;0;0;10
7875019314;7875019223;2490378;0.024721056;0.26301178;-0.05501118;38.303143;0;0;0;0;10
7876021373;7876021280;2490378;0.3426641;-0.42829183;-0.6308566;38.26087;0;0;0;0;10
7877017246;7877017150;2490378;0.13289817;0.07300406;-0.18735643;38.2971;0;0;0;0;10
7878018062;7878017970;2490378;-0.08376248;-0.2419546;0.4377912;38.27295;0;0;0;0;10
7879020118;7879020026;2490378;-0.7045068;0.24964204;0.21925865;38.200485;0;0;0;0;10
7880020938;7880020845;2490378;-0.36996317;-1.2702999;0.68628746;38.315216;0;0;0;0;10
7881018045;7881017953;2490378;0.07276424;0.11619097;-0.028764626;38.303143;0;0;0;0;10
7882018866;7882018772;2490378;0.16563308;-0.044732388;0.009239587;38.23068;0;0;0;0;10
7883019681;7883019591;2490378;-0.30699143;-1.3034879;-0.019351838;38.22464;0;0;0;0;10
7884018028;7884017935;2490378;1.4937553;0.36488706;-0.0057156202;38.24879;0;0;0;0;10
7885018847;7885018753;2490378;-0.584219;0.851261;0.11995475;38.27295;0;0;0;0;10
7886019663;7886019571;2490378;-0.58954823;-0.88145125;0.014835299;38.27295;0;0;0;0;10
7887020481;7887020389;2490378;-0.18019526;0.09917068;-0.25919473;38.26087;0;0;0;0;10
7888017589;7888017495;2490378;0.06432404;0.087326415;-0.3982615;38.146137;0;0;0;0;10
7889019641;7889019550;2490378;-0.41338325;1.6085674;-0.53970647;38.200485;0;0;0;0;10
7890020458;7890020367;2490378;-0.018052833;-0.12379847;0.30274135;38.18237;0;0;0;0;10
7891017565;7891017472;2490378;0.40397045;-0.0453719;0.28826576;38.212563;0;0;0;0;10
7892018380;7892018288;2490378;-0.7569133;-0.69001126;0.029310873;38.22464;0;0;0;0;10
7893019197;7893019104;2490378;0.17380016;0.184452;0.03756455;38.194447;0;0;0;0;10
7894021248;7894021157;2490378;-0.17589855;-0.24274732;-0.014828637;38.103867;0;0;0;0;10
7895018351;7895018260;2490378;-0.25213346;-0.17264104;0.015634686;38.24879;0;0;0;0;10
7896019168;7896019075;2490378;0.07454954;-0.06800789;0.0072677643;38.242756;0;0;0;0;10
7897019982;7897019889;2490378;-0.0428072;-0.09758522;-0.028471516;38.164253;0;0;0;0;10
7898017082;7898016992;2490378;0.6462448;-0.12860812;-0.49409473;38.1401;0;0;0;0;10
7899019134;7899019042;2490378;1.3483068;-0.48195735;-0.7768847;38.09179;0;0;0;0;10
7900021186;7900021092;2490378;-0.1424242;-0.26886064;-0.6923961;38.055557;0;0;0;0;10
7901020760;7901020668;2490378;0.31381288;-0.7948243;0.1290611;38.18237;0;0;0;0;10
7902017862;7902017769;2490378;-0.30076286;-1.3665262;0.6780271;38.031403;0;0;0;0;10
7903018677;7903018583;2490378;-0.148353;-1.3886759;0.7276824;38.025364;0;0;0;0;10
7904020724;7904020629;2490378;0.8434537;1.2469045;0.57589203;37.916668;0;0;0;0;10
7905017822;7905017728;2490378;-0.95554113;0.21313001;0.41876578;37.971016;0;0;0;0;10
7906018632;7906018539;2490378;0.047783386;-0.15306938;0.018432543;37.874397;0;0;0;0;10
7907019440;7907019348;2490378;-0.11691041;-0.13844058;-0.34887934;37.880436;0;0;0;0;10
7908020255;7908020158;2490378;-0.031009572;0.056569986;-0.0056556663;37.989132;0;0;0;0;10
7909018584;7909018492;2490378;0.23048338;-1.527716;-0.03389403;37.922707;0;0;0;0;10
7910019393;7910019300;2490378;0.31147465;-1.3474475;0.01347634;37.759663;0;0;0;0;10
7911020200;7911020108;2490378;0.030436678;1.0242019;-0.032008804;37.72343;0;0;0;0;10
7912017299;7912017204;2490378;0.58206064;1.8942884;0.043739818;37.81401;0;0;0;0;10
7913018103;7913018011;2490378;0.06911371;0.016980322;-0.059347857;37.783817;0;0;0;0;10
7914020146;7914020054;2490378;0.17498592;0.12812182;-0.061126493;37.7657;0;0;0;0;10
7915020954;7915020860;2490378;-0.31286025;1.3858048;-0.644666;37.77174;0;0;0;0;10
7916018134;7916017953;2490378;-0.73044026;-1.0942749;-0.5333446;37.832127;0;0;0;0;10
7917018850;7917018758;2490378;0.47058606;-0.53128624;-0.11008231;37.693237;0;0;0;0;10
7918019658;7918019562;2490378;0.13555613;0.3608435;0.24934894;37.67512;0;0;0;0;10
7919017986;7919017891;2490378;-0.043060336;0.39142007;0.6259337;37.759663;0;0;0;0;10
7920018786;7920018694;2490378;-0.051160797;-0.25110757;0.51608455;37.650967;0;0;0;0;10
